"time","rep","importation","sim_scenario","infections"
1,1,1,"NoIntervention",2
2,1,1,"NoIntervention",1
3,1,1,"NoIntervention",0
4,1,1,"NoIntervention",1
5,1,1,"NoIntervention",2
6,1,1,"NoIntervention",1
7,1,1,"NoIntervention",1
8,1,1,"NoIntervention",0
9,1,1,"NoIntervention",2
10,1,1,"NoIntervention",0
11,1,1,"NoIntervention",3
12,1,1,"NoIntervention",2
13,1,1,"NoIntervention",0
14,1,1,"NoIntervention",1
15,1,1,"NoIntervention",4
16,1,1,"NoIntervention",4
17,1,1,"NoIntervention",8
18,1,1,"NoIntervention",5
19,1,1,"NoIntervention",10
20,1,1,"NoIntervention",14
21,1,1,"NoIntervention",7
22,1,1,"NoIntervention",17
23,1,1,"NoIntervention",17
24,1,1,"NoIntervention",12
25,1,1,"NoIntervention",21
26,1,1,"NoIntervention",14
27,1,1,"NoIntervention",20
28,1,1,"NoIntervention",16
29,1,1,"NoIntervention",12
30,1,1,"NoIntervention",7
31,1,1,"NoIntervention",6
32,1,1,"NoIntervention",4
33,1,1,"NoIntervention",4
34,1,1,"NoIntervention",1
35,1,1,"NoIntervention",1
36,1,1,"NoIntervention",3
37,1,1,"NoIntervention",1
38,1,1,"NoIntervention",0
39,1,1,"NoIntervention",1
40,1,1,"NoIntervention",0
41,1,1,"NoIntervention",2
42,1,1,"NoIntervention",0
43,1,1,"NoIntervention",2
44,1,1,"NoIntervention",2
45,1,1,"NoIntervention",4
46,1,1,"NoIntervention",3
47,1,1,"NoIntervention",2
48,1,1,"NoIntervention",7
49,1,1,"NoIntervention",8
50,1,1,"NoIntervention",12
51,1,1,"NoIntervention",7
52,1,1,"NoIntervention",13
53,1,1,"NoIntervention",17
54,1,1,"NoIntervention",19
55,1,1,"NoIntervention",18
56,1,1,"NoIntervention",19
57,1,1,"NoIntervention",22
58,1,1,"NoIntervention",13
59,1,1,"NoIntervention",21
60,1,1,"NoIntervention",11
61,1,1,"NoIntervention",6
62,1,1,"NoIntervention",7
63,1,1,"NoIntervention",2
64,1,1,"NoIntervention",3
65,1,1,"NoIntervention",4
66,1,1,"NoIntervention",1
67,1,1,"NoIntervention",2
68,1,1,"NoIntervention",0
69,1,1,"NoIntervention",1
70,1,1,"NoIntervention",0
71,1,1,"NoIntervention",0
72,1,1,"NoIntervention",0
73,1,1,"NoIntervention",0
1,2,1,"NoIntervention",1
2,2,1,"NoIntervention",0
3,2,1,"NoIntervention",1
4,2,1,"NoIntervention",0
5,2,1,"NoIntervention",0
6,2,1,"NoIntervention",3
7,2,1,"NoIntervention",2
8,2,1,"NoIntervention",4
9,2,1,"NoIntervention",3
10,2,1,"NoIntervention",3
11,2,1,"NoIntervention",2
12,2,1,"NoIntervention",2
13,2,1,"NoIntervention",2
14,2,1,"NoIntervention",1
15,2,1,"NoIntervention",9
16,2,1,"NoIntervention",15
17,2,1,"NoIntervention",10
18,2,1,"NoIntervention",13
19,2,1,"NoIntervention",13
20,2,1,"NoIntervention",11
21,2,1,"NoIntervention",21
22,2,1,"NoIntervention",12
23,2,1,"NoIntervention",20
24,2,1,"NoIntervention",8
25,2,1,"NoIntervention",10
26,2,1,"NoIntervention",10
27,2,1,"NoIntervention",11
28,2,1,"NoIntervention",6
29,2,1,"NoIntervention",1
30,2,1,"NoIntervention",8
31,2,1,"NoIntervention",5
32,2,1,"NoIntervention",2
33,2,1,"NoIntervention",1
34,2,1,"NoIntervention",3
35,2,1,"NoIntervention",1
36,2,1,"NoIntervention",2
37,2,1,"NoIntervention",0
38,2,1,"NoIntervention",0
39,2,1,"NoIntervention",0
40,2,1,"NoIntervention",1
41,2,1,"NoIntervention",0
42,2,1,"NoIntervention",0
43,2,1,"NoIntervention",0
44,2,1,"NoIntervention",2
45,2,1,"NoIntervention",0
