"time","rep","training_site","infections","importations","testPositive"
1,1,"FB",0,0,5
1,1,"FLW",0,0,2
1,10,"FB",0,0,4
1,10,"FLW",0,0,4
1,100,"FB",0,0,8
1,100,"FLW",0,0,6
1,1000,"FB",1,0,7
1,1000,"FLW",0,0,4
1,101,"FB",2,0,9
1,101,"FLW",0,0,2
1,102,"FB",0,0,6
1,102,"FLW",0,0,1
1,103,"FB",0,0,6
1,103,"FLW",0,0,6
1,104,"FB",0,0,5
1,104,"FLW",0,0,2
1,105,"FB",0,0,4
1,105,"FLW",0,0,3
1,106,"FB",1,0,4
1,106,"FLW",0,0,5
1,107,"FB",0,0,10
1,107,"FLW",0,0,5
1,108,"FB",3,0,7
1,108,"FLW",0,0,5
1,109,"FB",0,0,5
1,109,"FLW",1,0,2
1,11,"FB",1,0,8
1,11,"FLW",0,0,4
1,110,"FB",0,0,6
1,110,"FLW",0,0,5
1,111,"FB",1,0,6
1,111,"FLW",0,0,4
1,112,"FB",0,0,7
1,112,"FLW",0,0,2
1,113,"FB",0,0,7
1,113,"FLW",1,0,4
1,114,"FB",0,0,5
1,114,"FLW",2,0,2
1,115,"FB",0,0,6
1,115,"FLW",0,0,5
1,116,"FB",2,1,13
1,116,"FLW",0,0,2
1,117,"FB",2,0,10
1,117,"FLW",0,0,3
1,118,"FB",0,0,8
1,118,"FLW",0,0,4
1,119,"FB",0,0,4
1,119,"FLW",0,0,4
1,12,"FB",0,0,5
1,12,"FLW",0,0,2
1,120,"FB",0,0,7
1,120,"FLW",0,0,3
1,121,"FB",0,0,3
1,121,"FLW",0,0,3
1,122,"FB",0,0,8
1,122,"FLW",0,0,3
1,123,"FB",0,0,9
1,123,"FLW",1,0,1
1,124,"FB",0,0,8
1,124,"FLW",0,0,2
1,125,"FB",0,0,5
1,125,"FLW",0,0,4
1,126,"FB",1,0,9
1,126,"FLW",0,0,2
1,127,"FB",0,0,5
1,127,"FLW",0,0,1
1,128,"FB",0,0,7
1,128,"FLW",0,0,6
1,129,"FB",0,0,3
1,129,"FLW",0,0,1
1,13,"FB",3,1,4
1,13,"FLW",0,0,1
1,130,"FB",0,0,10
1,130,"FLW",0,0,4
1,131,"FB",0,0,9
1,131,"FLW",0,0,3
1,132,"FB",0,0,6
1,132,"FLW",0,0,2
1,133,"FB",0,0,8
1,133,"FLW",0,0,4
1,134,"FB",3,0,2
1,134,"FLW",0,0,1
1,135,"FB",0,0,1
1,135,"FLW",2,0,4
1,136,"FB",3,0,6
1,136,"FLW",0,0,3
1,137,"FB",0,0,12
1,137,"FLW",0,0,1
1,138,"FB",0,0,9
1,138,"FLW",0,0,8
1,139,"FB",1,0,7
1,139,"FLW",0,0,4
1,14,"FB",2,0,5
1,14,"FLW",0,0,6
1,140,"FB",0,0,10
1,140,"FLW",0,0,1
1,141,"FB",0,0,11
1,141,"FLW",0,0,3
1,142,"FB",0,0,7
1,142,"FLW",1,0,1
1,143,"FB",0,0,10
1,143,"FLW",0,0,6
1,144,"FB",1,0,14
1,144,"FLW",0,0,5
1,145,"FB",0,0,5
1,145,"FLW",0,0,3
1,146,"FB",1,0,3
1,146,"FLW",0,0,1
1,147,"FB",0,0,9
1,147,"FLW",0,0,1
1,148,"FB",1,0,4
1,148,"FLW",1,0,3
1,149,"FB",0,0,6
1,149,"FLW",0,0,3
1,15,"FB",0,0,11
1,15,"FLW",0,0,4
1,150,"FB",0,0,9
1,150,"FLW",0,0,5
1,151,"FB",0,0,8
1,151,"FLW",0,0,3
1,152,"FB",0,0,5
1,152,"FLW",0,0,2
1,153,"FB",0,0,5
1,153,"FLW",0,0,2
1,154,"FB",0,0,7
1,154,"FLW",0,0,5
1,155,"FB",0,0,5
1,155,"FLW",0,0,1
1,156,"FB",0,0,7
1,156,"FLW",0,0,5
1,157,"FB",0,0,7
1,157,"FLW",0,0,3
1,158,"FB",0,0,8
1,158,"FLW",0,0,6
1,159,"FB",0,0,6
1,159,"FLW",0,0,2
1,16,"FB",0,0,10
1,16,"FLW",0,0,4
1,160,"FB",0,0,7
1,160,"FLW",0,0,6
1,161,"FB",0,0,6
1,161,"FLW",0,0,1
1,162,"FB",3,1,8
1,162,"FLW",0,0,3
1,163,"FB",0,0,8
1,163,"FLW",5,0,4
1,164,"FB",0,0,16
1,164,"FLW",0,0,4
1,165,"FB",0,0,8
1,165,"FLW",4,0,4
1,166,"FB",0,0,6
1,166,"FLW",1,0,6
1,167,"FB",0,0,6
1,167,"FLW",0,0,1
1,168,"FB",0,0,8
1,168,"FLW",0,0,4
1,169,"FB",0,0,3
1,169,"FLW",0,0,6
1,17,"FB",0,0,6
1,17,"FLW",0,0,4
1,170,"FB",0,0,7
1,170,"FLW",0,0,3
1,171,"FB",1,0,5
1,171,"FLW",0,0,4
1,172,"FB",1,0,5
1,172,"FLW",0,0,2
1,173,"FB",0,0,7
1,173,"FLW",0,0,3
1,174,"FB",1,0,7
1,174,"FLW",0,0,4
1,175,"FB",0,0,8
1,175,"FLW",0,0,1
1,176,"FB",0,0,8
1,176,"FLW",0,0,2
1,177,"FB",0,0,8
1,177,"FLW",0,0,5
1,178,"FB",7,0,5
1,178,"FLW",0,0,2
1,179,"FB",0,0,7
1,179,"FLW",0,0,1
1,18,"FB",0,0,9
1,18,"FLW",0,0,2
1,180,"FB",1,0,9
1,180,"FLW",0,0,5
1,181,"FB",3,0,5
1,181,"FLW",0,0,1
1,182,"FB",0,0,7
1,182,"FLW",0,0,4
1,183,"FB",0,0,5
1,183,"FLW",0,0,5
1,184,"FB",0,0,5
1,184,"FLW",1,0,2
1,185,"FB",0,0,8
1,185,"FLW",1,0,4
1,186,"FB",1,0,6
1,186,"FLW",0,0,2
1,187,"FB",0,0,10
1,187,"FLW",0,0,3
1,188,"FB",0,0,2
1,188,"FLW",0,0,6
1,189,"FB",0,0,13
1,189,"FLW",0,0,1
1,19,"FB",0,0,8
1,19,"FLW",0,0,5
1,190,"FB",0,0,5
1,190,"FLW",0,0,2
1,191,"FB",1,0,5
1,191,"FLW",0,0,2
1,192,"FB",1,0,11
1,192,"FLW",0,0,2
1,193,"FB",0,0,7
1,193,"FLW",0,0,2
1,194,"FB",0,0,8
1,194,"FLW",0,0,2
1,195,"FB",0,0,11
1,195,"FLW",0,0,0
1,196,"FB",3,0,8
1,196,"FLW",0,0,1
1,197,"FB",0,0,7
1,197,"FLW",0,0,2
1,198,"FB",3,0,10
1,198,"FLW",0,0,2
1,199,"FB",0,0,5
1,199,"FLW",0,0,4
1,2,"FB",0,0,5
1,2,"FLW",0,0,1
1,20,"FB",1,0,9
1,20,"FLW",0,0,1
1,200,"FB",0,0,4
