"rep","importation","facemask","infections"
1,1,"0",0
2,1,"0",1
3,1,"0",639
4,1,"0",1
5,1,"0",3
6,1,"0",0
7,1,"0",1
8,1,"0",4
9,1,"0",0
10,1,"0",205
11,1,"0",1
12,1,"0",0
13,1,"0",4
14,1,"0",419
15,1,"0",219
16,1,"0",207
17,1,"0",429
18,1,"0",0
19,1,"0",1
20,1,"0",204
21,1,"0",1
22,1,"0",415
23,1,"0",613
24,1,"0",847
25,1,"0",407
26,1,"0",0
27,1,"0",649
28,1,"0",2
29,1,"0",2
30,1,"0",204
31,1,"0",0
32,1,"0",4
33,1,"0",3
34,1,"0",0
35,1,"0",0
36,1,"0",214
37,1,"0",213
38,1,"0",0
39,1,"0",0
40,1,"0",2
41,1,"0",642
42,1,"0",0
43,1,"0",410
44,1,"0",1
45,1,"0",228
46,1,"0",229
47,1,"0",430
48,1,"0",209
49,1,"0",205
50,1,"0",425
51,1,"0",436
52,1,"0",0
53,1,"0",0
54,1,"0",217
55,1,"0",1
56,1,"0",0
57,1,"0",426
58,1,"0",0
59,1,"0",3
60,1,"0",0
61,1,"0",434
62,1,"0",834
63,1,"0",0
64,1,"0",210
65,1,"0",1
66,1,"0",0
67,1,"0",206
68,1,"0",223
69,1,"0",1
70,1,"0",224
71,1,"0",0
72,1,"0",0
73,1,"0",0
74,1,"0",3
75,1,"0",425
76,1,"0",0
77,1,"0",0
78,1,"0",0
79,1,"0",209
80,1,"0",651
81,1,"0",0
82,1,"0",3
83,1,"0",416
84,1,"0",434
85,1,"0",0
86,1,"0",211
87,1,"0",630
88,1,"0",2
89,1,"0",0
90,1,"0",13
91,1,"0",0
92,1,"0",1
93,1,"0",0
94,1,"0",0
95,1,"0",1
96,1,"0",0
97,1,"0",211
98,1,"0",0
99,1,"0",413
100,1,"0",224
1,2,"0",2
2,2,"0",636
3,2,"0",0
4,2,"0",210
5,2,"0",1
6,2,"0",422
7,2,"0",812
8,2,"0",200
9,2,"0",3
10,2,"0",431
11,2,"0",357
12,2,"0",5
13,2,"0",457
14,2,"0",1
15,2,"0",638
16,2,"0",422
17,2,"0",221
18,2,"0",806
19,2,"0",410
20,2,"0",166
21,2,"0",231
22,2,"0",2
23,2,"0",0
24,2,"0",857
25,2,"0",841
26,2,"0",634
27,2,"0",0
28,2,"0",429
29,2,"0",3
30,2,"0",0
31,2,"0",818
32,2,"0",423
33,2,"0",205
34,2,"0",0
35,2,"0",202
36,2,"0",537
37,2,"0",621
38,2,"0",761
39,2,"0",182
40,2,"0",8
41,2,"0",426
42,2,"0",859
43,2,"0",1
44,2,"0",419
45,2,"0",459
46,2,"0",208
47,2,"0",0
48,2,"0",384
49,2,"0",206
50,2,"0",42
51,2,"0",219
52,2,"0",5
53,2,"0",223
54,2,"0",210
55,2,"0",1
56,2,"0",2
57,2,"0",1
58,2,"0",424
59,2,"0",53
60,2,"0",140
61,2,"0",52
62,2,"0",367
63,2,"0",0
64,2,"0",1
65,2,"0",0
66,2,"0",1
67,2,"0",17
68,2,"0",435
69,2,"0",427
70,2,"0",584
71,2,"0",221
72,2,"0",40
73,2,"0",0
74,2,"0",215
75,2,"0",220
76,2,"0",0
77,2,"0",546
78,2,"0",679
79,2,"0",215
80,2,"0",202
81,2,"0",408
82,2,"0",1
83,2,"0",796
84,2,"0",204
85,2,"0",623
86,2,"0",208
87,2,"0",3
88,2,"0",432
89,2,"0",149
90,2,"0",427
91,2,"0",0
92,2,"0",355
93,2,"0",363
94,2,"0",5
95,2,"0",4
96,2,"0",69
97,2,"0",204
98,2,"0",672
99,2,"0",226
100,2,"0",1077
1,3,"0",1088
2,3,"0",1098
3,3,"0",817
4,3,"0",1080
5,3,"0",831
6,3,"0",1072
7,3,"0",1076
8,3,"0",975
9,3,"0",1085
10,3,"0",993
11,3,"0",1085
12,3,"0",1060
13,3,"0",827
14,3,"0",1074
15,3,"0",779
16,3,"0",971
17,3,"0",992
18,3,"0",848
19,3,"0",867
20,3,"0",1048
21,3,"0",1071
22,3,"0",964
23,3,"0",1044
24,3,"0",831
25,3,"0",1058
26,3,"0",844
27,3,"0",607
28,3,"0",1093
29,3,"0",1066
30,3,"0",854
31,3,"0",1071
32,3,"0",1070
33,3,"0",699
34,3,"0",1044
35,3,"0",819
36,3,"0",433
37,3,"0",1086
38,3,"0",833
39,3,"0",1085
40,3,"0",629
41,3,"0",1073
42,3,"0",875
43,3,"0",1089
44,3,"0",618
45,3,"0",786
46,3,"0",841
47,3,"0",1094
48,3,"0",850
49,3,"0",1029
50,3,"0",793
51,3,"0",850
52,3,"0",640
53,3,"0",874
54,3,"0",874
55,3,"0",1050
56,3,"0",1082
57,3,"0",1079
58,3,"0",631
59,3,"0",1044
60,3,"0",1041
61,3,"0",867
62,3,"0",826
63,3,"0",586
64,3,"0",623
65,3,"0",1052
66,3,"0",635
67,3,"0",1089
68,3,"0",854
69,3,"0",1071
70,3,"0",1057
71,3,"0",1081
72,3,"0",1052
73,3,"0",730
74,3,"0",1065
75,3,"0",1067
76,3,"0",1050
77,3,"0",859
78,3,"0",1045
79,3,"0",1064
80,3,"0",1012
81,3,"0",985
82,3,"0",1066
83,3,"0",880
84,3,"0",898
85,3,"0",1084
86,3,"0",1088
87,3,"0",1048
88,3,"0",1119
89,3,"0",1053
90,3,"0",1065
91,3,"0",834
92,3,"0",788
93,3,"0",625
94,3,"0",1060
95,3,"0",702
96,3,"0",864
97,3,"0",946
98,3,"0",1084
99,3,"0",261
100,3,"0",652
1,1,"0.2",412
2,1,"0.2",377
3,1,"0.2",1
4,1,"0.2",0
5,1,"0.2",1
6,1,"0.2",4
7,1,"0.2",0
8,1,"0.2",1
9,1,"0.2",0
10,1,"0.2",203
11,1,"0.2",202
12,1,"0.2",0
13,1,"0.2",1
14,1,"0.2",0
15,1,"0.2",2
16,1,"0.2",183
17,1,"0.2",0
18,1,"0.2",0
19,1,"0.2",187
20,1,"0.2",616
21,1,"0.2",405
22,1,"0.2",0
23,1,"0.2",180
24,1,"0.2",202
25,1,"0.2",0
