sim_rep,importation,total_inf,rep,param,param_value
1,0,0,1,R0.mag,4.1919037595188
2,0,0,1,R0.mag,6.1919037595188
3,0,2,2,R0.mag,4.1919037595188
4,0,0,2,R0.mag,6.1919037595188
5,0,0,3,R0.mag,4.1919037595188
6,0,431,3,R0.mag,6.1919037595188
7,0,0,4,R0.mag,4.1919037595188
8,0,423,4,R0.mag,6.1919037595188
9,0,2,5,R0.mag,4.1919037595188
10,0,2,5,R0.mag,6.1919037595188
11,0,0,6,R0.mag,4.1919037595188
12,0,0,6,R0.mag,6.1919037595188
13,0,0,7,R0.mag,4.1919037595188
14,0,0,7,R0.mag,6.1919037595188
15,0,0,8,R0.mag,4.1919037595188
16,0,213,8,R0.mag,6.1919037595188
17,0,0,9,R0.mag,4.1919037595188
18,0,1,9,R0.mag,6.1919037595188
19,0,202,10,R0.mag,4.1919037595188
20,0,205,10,R0.mag,6.1919037595188
21,0,159,11,R0.mag,4.1919037595188
22,0,215,11,R0.mag,6.1919037595188
23,0,0,12,R0.mag,4.1919037595188
24,0,215,12,R0.mag,6.1919037595188
25,0,161,13,R0.mag,4.1919037595188
26,0,0,13,R0.mag,6.1919037595188
27,0,0,14,R0.mag,4.1919037595188
28,0,437,14,R0.mag,6.1919037595188
29,0,0,15,R0.mag,4.1919037595188
30,0,4,15,R0.mag,6.1919037595188
31,0,1,16,R0.mag,4.1919037595188
32,0,432,16,R0.mag,6.1919037595188
33,0,3,17,R0.mag,4.1919037595188
34,0,203,17,R0.mag,6.1919037595188
35,0,1,18,R0.mag,4.1919037595188
36,0,0,18,R0.mag,6.1919037595188
37,0,18,19,R0.mag,4.1919037595188
38,0,210,19,R0.mag,6.1919037595188
39,0,1,20,R0.mag,4.1919037595188
40,0,210,20,R0.mag,6.1919037595188
41,0,0,21,R0.mag,4.1919037595188
42,0,204,21,R0.mag,6.1919037595188
43,0,0,22,R0.mag,4.1919037595188
44,0,215,22,R0.mag,6.1919037595188
45,0,9,23,R0.mag,4.1919037595188
46,0,0,23,R0.mag,6.1919037595188
47,0,0,24,R0.mag,4.1919037595188
48,0,0,24,R0.mag,6.1919037595188
49,0,370,25,R0.mag,4.1919037595188
50,0,0,25,R0.mag,6.1919037595188
51,0,0,26,R0.mag,4.1919037595188
52,0,0,26,R0.mag,6.1919037595188
53,0,188,27,R0.mag,4.1919037595188
54,0,225,27,R0.mag,6.1919037595188
55,0,4,28,R0.mag,4.1919037595188
56,0,8,28,R0.mag,6.1919037595188
57,0,0,29,R0.mag,4.1919037595188
58,0,213,29,R0.mag,6.1919037595188
59,0,0,30,R0.mag,4.1919037595188
60,0,211,30,R0.mag,6.1919037595188
61,0,281,31,R0.mag,4.1919037595188
62,0,0,31,R0.mag,6.1919037595188
63,0,0,32,R0.mag,4.1919037595188
64,0,0,32,R0.mag,6.1919037595188
